批次,输入名称,资产编号,标的,来源成员编号,输入记录指纹,闭环成员指纹
loop-20260805T033200+0800-1,来源身份,DS-000001,BTC,ZI-bf37564aac87c9161a93ff81,cfdbd66f19241b3c38f55c610e078d82c22eaad50ef589e561ccd0a6986b8aba,5e6123581719a7cb4f84af7bafe2a4dadbd0d2950ba6669d8f83e78e9c134ac6
loop-20260805T033200+0800-1,时间质量,DS-000001,BTC,ZI-bf37564aac87c9161a93ff81,db612e755c88209653dabc33be978c57ae6ebb07d3e284f868f5ea163b9b36fa,5e6123581719a7cb4f84af7bafe2a4dadbd0d2950ba6669d8f83e78e9c134ac6
loop-20260805T033200+0800-1,质量结果,DS-000001,BTC,ZI-bf37564aac87c9161a93ff81,4625baeaa7527362fcd41d01dc7b44b0220714aabae367a6ba1e5ddb2c89e70d,5e6123581719a7cb4f84af7bafe2a4dadbd0d2950ba6669d8f83e78e9c134ac6
loop-20260805T033200+0800-1,断档结果,DS-000001,BTC,ZI-bf37564aac87c9161a93ff81,5fd93dcb4e2eaa2e1aaf21efb7b2b19bfb5454b3452d4ab7a11c9f267cc5e0d3,5e6123581719a7cb4f84af7bafe2a4dadbd0d2950ba6669d8f83e78e9c134ac6
loop-20260805T033200+0800-1,异常结果,DS-000001,BTC,ZI-bf37564aac87c9161a93ff81,bad5e3e81006223b5c04eeb3a0c18162534c3451c388a720dbe4cbcf086fb66b,5e6123581719a7cb4f84af7bafe2a4dadbd0d2950ba6669d8f83e78e9c134ac6
loop-20260805T033200+0800-1,重放结果,DS-000001,BTC,ZI-bf37564aac87c9161a93ff81,a3400bfa1474fbba00a61af4768b3d8ac7c7c7c145ca770b06358ddc5c6f62af,5e6123581719a7cb4f84af7bafe2a4dadbd0d2950ba6669d8f83e78e9c134ac6
loop-20260805T033200+0800-1,成本结果,DS-000001,BTC,ZI-bf37564aac87c9161a93ff81,2a3b40312014f2e53d2c1403656ee1508508170e1fb0d98f43044440bef01ee2,5e6123581719a7cb4f84af7bafe2a4dadbd0d2950ba6669d8f83e78e9c134ac6
loop-20260805T033200+0800-1,来源身份,DS-000002,BTC,ZI-3846d7813100d3d883f9e584,d92bf5c0f1b5c391ee629146699f25524aa474ae97369e6ca5209c39a8ab349c,099533a55e848bed03179643abdae393a3d03677f596929d8ad80c59e0827a99
loop-20260805T033200+0800-1,时间质量,DS-000002,BTC,ZI-3846d7813100d3d883f9e584,a5826c70d45190dd01ef642bfc7fa2c5abf52048579288e3af579dc9c18408b9,099533a55e848bed03179643abdae393a3d03677f596929d8ad80c59e0827a99
loop-20260805T033200+0800-1,质量结果,DS-000002,BTC,ZI-3846d7813100d3d883f9e584,13bbe30165bd5141b180a86b47d3af0d9a93bf0ea1889a5c9a30062e41034af5,099533a55e848bed03179643abdae393a3d03677f596929d8ad80c59e0827a99
loop-20260805T033200+0800-1,断档结果,DS-000002,BTC,ZI-3846d7813100d3d883f9e584,6f5818ce74031bc411db521fa73034c695136aa072d920a2db2f586498b95758,099533a55e848bed03179643abdae393a3d03677f596929d8ad80c59e0827a99
loop-20260805T033200+0800-1,异常结果,DS-000002,BTC,ZI-3846d7813100d3d883f9e584,9b37a0d0b136dcf7a6f2856a3576a8f16861feb13a2fe1ace0b10a805eccce51,099533a55e848bed03179643abdae393a3d03677f596929d8ad80c59e0827a99
loop-20260805T033200+0800-1,重放结果,DS-000002,BTC,ZI-3846d7813100d3d883f9e584,8999996e7b1b6e6387240dd0ff42afa5b6eff942105c8c2f09c73318a6293b8d,099533a55e848bed03179643abdae393a3d03677f596929d8ad80c59e0827a99
loop-20260805T033200+0800-1,成本结果,DS-000002,BTC,ZI-3846d7813100d3d883f9e584,4b6914fe07393769137b393891952b3b2a9bce7f8f40a10abd294872717e28e4,099533a55e848bed03179643abdae393a3d03677f596929d8ad80c59e0827a99
loop-20260805T033200+0800-1,来源身份,DS-000003,BTC,ZI-bad7fbdd2fd2ed50c31757ed,989f97ce8fe0d8f63552494cca2524efdadb0a9eb552b43dbe3db2c22014a154,455b77bec298a01a64f5e921cb84931ecb45a640ceb4e776d1166cb782041a27
loop-20260805T033200+0800-1,时间质量,DS-000003,BTC,ZI-bad7fbdd2fd2ed50c31757ed,b669176b0055668a0e4b1cc2fd5f5c80d799e129aaca0aa38a58ebe48ab955c5,455b77bec298a01a64f5e921cb84931ecb45a640ceb4e776d1166cb782041a27
loop-20260805T033200+0800-1,质量结果,DS-000003,BTC,ZI-bad7fbdd2fd2ed50c31757ed,33580236087e8d9c52ffa81e25adff76ddfa4e0f44d447e8efcf0df047fc5b73,455b77bec298a01a64f5e921cb84931ecb45a640ceb4e776d1166cb782041a27
loop-20260805T033200+0800-1,断档结果,DS-000003,BTC,ZI-bad7fbdd2fd2ed50c31757ed,6bfb412a5cea7fc423e5d30c7c47559530d847edd097407e10c6941b4dff6420,455b77bec298a01a64f5e921cb84931ecb45a640ceb4e776d1166cb782041a27
loop-20260805T033200+0800-1,异常结果,DS-000003,BTC,ZI-bad7fbdd2fd2ed50c31757ed,64a40fcd8e850acbce336a827fa45a8dffc664a967383cc83d353fc7b908d8e0,455b77bec298a01a64f5e921cb84931ecb45a640ceb4e776d1166cb782041a27
loop-20260805T033200+0800-1,重放结果,DS-000003,BTC,ZI-bad7fbdd2fd2ed50c31757ed,a6f98541908bf83512d54bf84b184e49b1746d46f02ef91a5d67d405b864a1d7,455b77bec298a01a64f5e921cb84931ecb45a640ceb4e776d1166cb782041a27
loop-20260805T033200+0800-1,成本结果,DS-000003,BTC,ZI-bad7fbdd2fd2ed50c31757ed,b9783c86b1778a438a25831541eb63c79d5e7fa7e3268cabc4e2bc54d201d188,455b77bec298a01a64f5e921cb84931ecb45a640ceb4e776d1166cb782041a27
loop-20260805T033200+0800-1,来源身份,DS-000004,BTC,ZI-4dee483dff86ed829a01f96f,0b735c73caa02137f347595af588481b83199480b00d485b203132f2a3185e38,6f87eb4b2d6237061a7ef6d393b6bdc8f027213f5d4bcfe5891cda874077f12a
loop-20260805T033200+0800-1,时间质量,DS-000004,BTC,ZI-4dee483dff86ed829a01f96f,bdaa4cd969ea64d006165e1904e24de45fd3d0558e0e30879422c2fc92e1ddde,6f87eb4b2d6237061a7ef6d393b6bdc8f027213f5d4bcfe5891cda874077f12a
loop-20260805T033200+0800-1,质量结果,DS-000004,BTC,ZI-4dee483dff86ed829a01f96f,891ad2f977090f5ba4c2a82d4400fbc2138b014a067746b45ebdf28a3034e201,6f87eb4b2d6237061a7ef6d393b6bdc8f027213f5d4bcfe5891cda874077f12a
loop-20260805T033200+0800-1,断档结果,DS-000004,BTC,ZI-4dee483dff86ed829a01f96f,7e8b82588f93e4b7ae5c76998b76c5af9216c220fe840fc9a59a07670103a2bb,6f87eb4b2d6237061a7ef6d393b6bdc8f027213f5d4bcfe5891cda874077f12a
loop-20260805T033200+0800-1,异常结果,DS-000004,BTC,ZI-4dee483dff86ed829a01f96f,7f5439a1889259412bd31d10a933bba1a52ad2157c90a95b8f09102f2898e6f8,6f87eb4b2d6237061a7ef6d393b6bdc8f027213f5d4bcfe5891cda874077f12a
loop-20260805T033200+0800-1,重放结果,DS-000004,BTC,ZI-4dee483dff86ed829a01f96f,92e2e6052fc15c78274b9cf3dfbec0b0cf96039c8c1773d07b95b0c6151eae76,6f87eb4b2d6237061a7ef6d393b6bdc8f027213f5d4bcfe5891cda874077f12a
loop-20260805T033200+0800-1,成本结果,DS-000004,BTC,ZI-4dee483dff86ed829a01f96f,092413816edf51d8b51b58bea72ae2bb2ca65c843fe1359383187f835cf3dabc,6f87eb4b2d6237061a7ef6d393b6bdc8f027213f5d4bcfe5891cda874077f12a
loop-20260805T033200+0800-1,来源身份,DS-000005,BTC,ZI-afe25106735b4aef36d7615a,ea0cbcde51bb95ec5addcf73cb1f4e88b886863b7418b827c124213111697d68,907862542336b2183a1271e35fff96499ba832fe0122379c504b8e5420f0469a
loop-20260805T033200+0800-1,时间质量,DS-000005,BTC,ZI-afe25106735b4aef36d7615a,f01c63a27bf823281f6cae49e8b8d954385dd6b661e84a12c33250b3839225a2,907862542336b2183a1271e35fff96499ba832fe0122379c504b8e5420f0469a
loop-20260805T033200+0800-1,质量结果,DS-000005,BTC,ZI-afe25106735b4aef36d7615a,27126b8e1b42e5118e53186b7cd3e8677ab14083d4c1d18b8d89f0f76ab3b770,907862542336b2183a1271e35fff96499ba832fe0122379c504b8e5420f0469a
loop-20260805T033200+0800-1,断档结果,DS-000005,BTC,ZI-afe25106735b4aef36d7615a,e9f1e2eaa87575ec5e9405c0a13bdfd53c4fc0dd0919eac828a26f8ff3d924a6,907862542336b2183a1271e35fff96499ba832fe0122379c504b8e5420f0469a
