标的,期限月数,期限天数,数据族,估算类型,基础字节数,质量血缘字节数,副本后字节数,安全余量后字节数,状态,公式版本
BTC,3,92,成交与价格,规划假设（非测量、非生产容量）,4069785600,4680253440,9360506880,12168658944,规划假设，零成员无法用试点校准,capacity-recovery-btc-eth-1.0
BTC,3,92,订单簿与流动性,规划假设（非测量、非生产容量）,6511656960,7488405504,14976811008,19469854311,规划假设，零成员无法用试点校准,capacity-recovery-btc-eth-1.0
BTC,3,92,衍生品与资金,规划假设（非测量、非生产容量）,271319040,312016896,624033792,811243930,规划假设，零成员无法用试点校准,capacity-recovery-btc-eth-1.0
BTC,3,92,成本与执行,规划假设（非测量、非生产容量）,135659520,156008448,312016896,405621965,规划假设，零成员无法用试点校准,capacity-recovery-btc-eth-1.0
BTC,6,183,成交与价格,规划假设（非测量、非生产容量）,8095334400,9309634560,18619269120,24205049856,规划假设，零成员无法用试点校准,capacity-recovery-btc-eth-1.0
BTC,6,183,订单簿与流动性,规划假设（非测量、非生产容量）,12952535040,14895415296,29790830592,38728079770,规划假设，零成员无法用试点校准,capacity-recovery-btc-eth-1.0
BTC,6,183,衍生品与资金,规划假设（非测量、非生产容量）,539688960,620642304,1241284608,1613669991,规划假设，零成员无法用试点校准,capacity-recovery-btc-eth-1.0
BTC,6,183,成本与执行,规划假设（非测量、非生产容量）,269844480,310321152,620642304,806834996,规划假设，零成员无法用试点校准,capacity-recovery-btc-eth-1.0
BTC,12,365,成交与价格,规划假设（非测量、非生产容量）,16146432000,18568396800,37136793600,48277831680,规划假设，零成员无法用试点校准,capacity-recovery-btc-eth-1.0
BTC,12,365,订单簿与流动性,规划假设（非测量、非生产容量）,25834291200,29709434880,59418869760,77244530688,规划假设，零成员无法用试点校准,capacity-recovery-btc-eth-1.0
BTC,12,365,衍生品与资金,规划假设（非测量、非生产容量）,1076428800,1237893120,2475786240,3218522112,规划假设，零成员无法用试点校准,capacity-recovery-btc-eth-1.0
BTC,12,365,成本与执行,规划假设（非测量、非生产容量）,538214400,618946560,1237893120,1609261056,规划假设，零成员无法用试点校准,capacity-recovery-btc-eth-1.0
ETH,3,92,成交与价格,规划假设（非测量、非生产容量）,4069785600,4680253440,9360506880,12168658944,规划假设，零成员无法用试点校准,capacity-recovery-btc-eth-1.0
ETH,3,92,订单簿与流动性,规划假设（非测量、非生产容量）,6511656960,7488405504,14976811008,19469854311,规划假设，零成员无法用试点校准,capacity-recovery-btc-eth-1.0
ETH,3,92,衍生品与资金,规划假设（非测量、非生产容量）,271319040,312016896,624033792,811243930,规划假设，零成员无法用试点校准,capacity-recovery-btc-eth-1.0
ETH,3,92,成本与执行,规划假设（非测量、非生产容量）,135659520,156008448,312016896,405621965,规划假设，零成员无法用试点校准,capacity-recovery-btc-eth-1.0
ETH,6,183,成交与价格,规划假设（非测量、非生产容量）,8095334400,9309634560,18619269120,24205049856,规划假设，零成员无法用试点校准,capacity-recovery-btc-eth-1.0
ETH,6,183,订单簿与流动性,规划假设（非测量、非生产容量）,12952535040,14895415296,29790830592,38728079770,规划假设，零成员无法用试点校准,capacity-recovery-btc-eth-1.0
ETH,6,183,衍生品与资金,规划假设（非测量、非生产容量）,539688960,620642304,1241284608,1613669991,规划假设，零成员无法用试点校准,capacity-recovery-btc-eth-1.0
ETH,6,183,成本与执行,规划假设（非测量、非生产容量）,269844480,310321152,620642304,806834996,规划假设，零成员无法用试点校准,capacity-recovery-btc-eth-1.0
ETH,12,365,成交与价格,规划假设（非测量、非生产容量）,16146432000,18568396800,37136793600,48277831680,规划假设，零成员无法用试点校准,capacity-recovery-btc-eth-1.0
ETH,12,365,订单簿与流动性,规划假设（非测量、非生产容量）,25834291200,29709434880,59418869760,77244530688,规划假设，零成员无法用试点校准,capacity-recovery-btc-eth-1.0
ETH,12,365,衍生品与资金,规划假设（非测量、非生产容量）,1076428800,1237893120,2475786240,3218522112,规划假设，零成员无法用试点校准,capacity-recovery-btc-eth-1.0
ETH,12,365,成本与执行,规划假设（非测量、非生产容量）,538214400,618946560,1237893120,1609261056,规划假设，零成员无法用试点校准,capacity-recovery-btc-eth-1.0
