审计批次,规则版本,规则指纹,清单指纹,资产编号,候选标的范围,规则编号,异常类型,异常数量,异常比例,严重度,规则状态,证据,处置
audit-20260728T232315+0800,dq-rules-1.0,0292032309ba1319429ec2b2ae867016b247771413261e4d4f0a9bec2dcac8a3,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000001,未限定,DQ-STRUCT-001,结构解析异常汇总,无法判定,无法判定,无法判定,未执行,e760d3b5263f3619a4a40c327c3ee74328aa602c096faf401d3ea81e73f50fe3,仅记录，不修改原始数据
audit-20260728T232315+0800,dq-rules-1.0,0292032309ba1319429ec2b2ae867016b247771413261e4d4f0a9bec2dcac8a3,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000002,未限定,DQ-STRUCT-001,结构解析异常汇总,0,0.000000,低,已执行,f6e54b68223688ca922713d348b92d03bdeff1c63cca0a0441206e5a26550abd,仅记录，不修改原始数据
audit-20260728T232315+0800,dq-rules-1.0,0292032309ba1319429ec2b2ae867016b247771413261e4d4f0a9bec2dcac8a3,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000003,未限定,DQ-STRUCT-001,结构解析异常汇总,0,0.000000,低,已执行,0e4188ffe34b567096be81d5993750ba3f951bd256cb6ed7fee8f02cc953a05f,仅记录，不修改原始数据
audit-20260728T232315+0800,dq-rules-1.0,0292032309ba1319429ec2b2ae867016b247771413261e4d4f0a9bec2dcac8a3,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000004,未限定,DQ-STRUCT-001,结构解析异常汇总,0,0.000000,低,已执行,7557ce484a65ecb909698ad0becf91b66f88030f1b8e9a3457866c4f58eafa9d,仅记录，不修改原始数据
audit-20260728T232315+0800,dq-rules-1.0,0292032309ba1319429ec2b2ae867016b247771413261e4d4f0a9bec2dcac8a3,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000005,未限定,DQ-STRUCT-001,结构解析异常汇总,0,0.000000,低,已执行,614d6abf61e43e94b9eb025a4442dacf86d40a56170c4c205a77e53d39e390eb,仅记录，不修改原始数据
audit-20260728T232315+0800,dq-rules-1.0,0292032309ba1319429ec2b2ae867016b247771413261e4d4f0a9bec2dcac8a3,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000006,未限定,DQ-STRUCT-001,结构解析异常汇总,0,0.000000,低,已执行,418fe03efd0e3a3dd11dd86e92f4b1794ce4b82420e79f4216e37fd0b2d9bcb3,仅记录，不修改原始数据
audit-20260728T232315+0800,dq-rules-1.0,0292032309ba1319429ec2b2ae867016b247771413261e4d4f0a9bec2dcac8a3,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000007,未限定,DQ-STRUCT-001,结构解析异常汇总,0,0.000000,低,已执行,3ebf3dc4893f4dfe26a6e7d3c987ef0bd9f5a1ec4cf267a949b6d455471a2bc2,仅记录，不修改原始数据
audit-20260728T232315+0800,dq-rules-1.0,0292032309ba1319429ec2b2ae867016b247771413261e4d4f0a9bec2dcac8a3,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000008,未限定,DQ-STRUCT-001,结构解析异常汇总,0,0.000000,低,已执行,ab4be389833c28e68da7c53b750567acb9357d09662dbf801bb0a4958f33b6ce,仅记录，不修改原始数据
audit-20260728T232315+0800,dq-rules-1.0,0292032309ba1319429ec2b2ae867016b247771413261e4d4f0a9bec2dcac8a3,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000009,未限定,DQ-STRUCT-001,结构解析异常汇总,0,0.000000,低,已执行,4849ea5fcc8e131b34e0a1f869cf3091991dd7599d96c208da1663e4dfc52235,仅记录，不修改原始数据
audit-20260728T232315+0800,dq-rules-1.0,0292032309ba1319429ec2b2ae867016b247771413261e4d4f0a9bec2dcac8a3,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000010,未限定,DQ-STRUCT-001,结构解析异常汇总,0,0.000000,低,已执行,8562243991398d91135b1772abbc3ac55944daadb403bff7c09173a62c9c9c77,仅记录，不修改原始数据
audit-20260728T232315+0800,dq-rules-1.0,0292032309ba1319429ec2b2ae867016b247771413261e4d4f0a9bec2dcac8a3,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000011,未限定,DQ-STRUCT-001,结构解析异常汇总,0,0.000000,低,已执行,c0edb4a3d5641a215aa25b1d924287d6937846044948a073e9548f36e4662d66,仅记录，不修改原始数据
audit-20260728T232315+0800,dq-rules-1.0,0292032309ba1319429ec2b2ae867016b247771413261e4d4f0a9bec2dcac8a3,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000012,未限定,DQ-STRUCT-001,结构解析异常汇总,0,0.000000,低,已执行,6488d3a76db1480fe664736699f8d127dfe2b6991f8ef7d637bf289ed684f603,仅记录，不修改原始数据
audit-20260728T232315+0800,dq-rules-1.0,0292032309ba1319429ec2b2ae867016b247771413261e4d4f0a9bec2dcac8a3,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000013,未限定,DQ-STRUCT-001,结构解析异常汇总,0,0.000000,低,已执行,d752aa1613734dda0aec6607232464e2d8979adc3031013d4b5ec053121a018e,仅记录，不修改原始数据
