审计批次,规则版本,规则指纹,清单指纹,资产编号,候选标的范围,断档状态,预期频率,事件时间字段,断档数,断档范围,原因,解除条件
audit-20260728T233014+0800,dq-rules-1.0,0785f82072926b5a6d997122eb58cc200a6fa871125f050c2a4ab94d5d6d9ba5,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000001,未限定,无法判定,未提供正式频率合同,orders.close_time、orders.open_time、strategy_decision_events.event_time,无法判定,无法判定,事件时间语义、时区或预期频率未形成可验证合同,冻结事件时间字段、时区、边界规则和预期频率后创建新审计批次
audit-20260728T233014+0800,dq-rules-1.0,0785f82072926b5a6d997122eb58cc200a6fa871125f050c2a4ab94d5d6d9ba5,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000002,未限定,无法判定,未提供正式频率合同,无已证明字段,无法判定,无法判定,事件时间语义、时区或预期频率未形成可验证合同,冻结事件时间字段、时区、边界规则和预期频率后创建新审计批次
audit-20260728T233014+0800,dq-rules-1.0,0785f82072926b5a6d997122eb58cc200a6fa871125f050c2a4ab94d5d6d9ba5,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000003,未限定,无法判定,未提供正式频率合同,无已证明字段,无法判定,无法判定,事件时间语义、时区或预期频率未形成可验证合同,冻结事件时间字段、时区、边界规则和预期频率后创建新审计批次
audit-20260728T233014+0800,dq-rules-1.0,0785f82072926b5a6d997122eb58cc200a6fa871125f050c2a4ab94d5d6d9ba5,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000004,未限定,无法判定,未提供正式频率合同,无已证明字段,无法判定,无法判定,事件时间语义、时区或预期频率未形成可验证合同,冻结事件时间字段、时区、边界规则和预期频率后创建新审计批次
audit-20260728T233014+0800,dq-rules-1.0,0785f82072926b5a6d997122eb58cc200a6fa871125f050c2a4ab94d5d6d9ba5,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000005,未限定,无法判定,未提供正式频率合同,无已证明字段,无法判定,无法判定,事件时间语义、时区或预期频率未形成可验证合同,冻结事件时间字段、时区、边界规则和预期频率后创建新审计批次
audit-20260728T233014+0800,dq-rules-1.0,0785f82072926b5a6d997122eb58cc200a6fa871125f050c2a4ab94d5d6d9ba5,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000006,未限定,无法判定,未提供正式频率合同,无已证明字段,无法判定,无法判定,事件时间语义、时区或预期频率未形成可验证合同,冻结事件时间字段、时区、边界规则和预期频率后创建新审计批次
audit-20260728T233014+0800,dq-rules-1.0,0785f82072926b5a6d997122eb58cc200a6fa871125f050c2a4ab94d5d6d9ba5,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000007,未限定,无法判定,未提供正式频率合同,无已证明字段,无法判定,无法判定,事件时间语义、时区或预期频率未形成可验证合同,冻结事件时间字段、时区、边界规则和预期频率后创建新审计批次
audit-20260728T233014+0800,dq-rules-1.0,0785f82072926b5a6d997122eb58cc200a6fa871125f050c2a4ab94d5d6d9ba5,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000008,未限定,无法判定,未提供正式频率合同,无已证明字段,无法判定,无法判定,事件时间语义、时区或预期频率未形成可验证合同,冻结事件时间字段、时区、边界规则和预期频率后创建新审计批次
audit-20260728T233014+0800,dq-rules-1.0,0785f82072926b5a6d997122eb58cc200a6fa871125f050c2a4ab94d5d6d9ba5,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000009,未限定,无法判定,未提供正式频率合同,无已证明字段,无法判定,无法判定,事件时间语义、时区或预期频率未形成可验证合同,冻结事件时间字段、时区、边界规则和预期频率后创建新审计批次
audit-20260728T233014+0800,dq-rules-1.0,0785f82072926b5a6d997122eb58cc200a6fa871125f050c2a4ab94d5d6d9ba5,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000010,未限定,无法判定,未提供正式频率合同,无已证明字段,无法判定,无法判定,事件时间语义、时区或预期频率未形成可验证合同,冻结事件时间字段、时区、边界规则和预期频率后创建新审计批次
audit-20260728T233014+0800,dq-rules-1.0,0785f82072926b5a6d997122eb58cc200a6fa871125f050c2a4ab94d5d6d9ba5,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000011,未限定,无法判定,未提供正式频率合同,无已证明字段,无法判定,无法判定,事件时间语义、时区或预期频率未形成可验证合同,冻结事件时间字段、时区、边界规则和预期频率后创建新审计批次
audit-20260728T233014+0800,dq-rules-1.0,0785f82072926b5a6d997122eb58cc200a6fa871125f050c2a4ab94d5d6d9ba5,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000012,未限定,无法判定,未提供正式频率合同,无已证明字段,无法判定,无法判定,事件时间语义、时区或预期频率未形成可验证合同,冻结事件时间字段、时区、边界规则和预期频率后创建新审计批次
audit-20260728T233014+0800,dq-rules-1.0,0785f82072926b5a6d997122eb58cc200a6fa871125f050c2a4ab94d5d6d9ba5,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000013,未限定,无法判定,未提供正式频率合同,无已证明字段,无法判定,无法判定,事件时间语义、时区或预期频率未形成可验证合同,冻结事件时间字段、时区、边界规则和预期频率后创建新审计批次
audit-20260728T233014+0800,dq-rules-1.0,0785f82072926b5a6d997122eb58cc200a6fa871125f050c2a4ab94d5d6d9ba5,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000014,未限定,无法判定,未提供正式频率合同,无已证明字段,无法判定,无法判定,事件时间语义、时区或预期频率未形成可验证合同,冻结事件时间字段、时区、边界规则和预期频率后创建新审计批次
audit-20260728T233014+0800,dq-rules-1.0,0785f82072926b5a6d997122eb58cc200a6fa871125f050c2a4ab94d5d6d9ba5,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000015,未限定,无法判定,未提供正式频率合同,无已证明字段,无法判定,无法判定,事件时间语义、时区或预期频率未形成可验证合同,冻结事件时间字段、时区、边界规则和预期频率后创建新审计批次
audit-20260728T233014+0800,dq-rules-1.0,0785f82072926b5a6d997122eb58cc200a6fa871125f050c2a4ab94d5d6d9ba5,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000016,未限定,无法判定,未提供正式频率合同,无已证明字段,无法判定,无法判定,事件时间语义、时区或预期频率未形成可验证合同,冻结事件时间字段、时区、边界规则和预期频率后创建新审计批次
audit-20260728T233014+0800,dq-rules-1.0,0785f82072926b5a6d997122eb58cc200a6fa871125f050c2a4ab94d5d6d9ba5,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000017,未限定,无法判定,未提供正式频率合同,无已证明字段,无法判定,无法判定,事件时间语义、时区或预期频率未形成可验证合同,冻结事件时间字段、时区、边界规则和预期频率后创建新审计批次
audit-20260728T233014+0800,dq-rules-1.0,0785f82072926b5a6d997122eb58cc200a6fa871125f050c2a4ab94d5d6d9ba5,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000018,未限定,无法判定,未提供正式频率合同,无已证明字段,无法判定,无法判定,事件时间语义、时区或预期频率未形成可验证合同,冻结事件时间字段、时区、边界规则和预期频率后创建新审计批次
audit-20260728T233014+0800,dq-rules-1.0,0785f82072926b5a6d997122eb58cc200a6fa871125f050c2a4ab94d5d6d9ba5,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000019,未限定,无法判定,未提供正式频率合同,无已证明字段,无法判定,无法判定,事件时间语义、时区或预期频率未形成可验证合同,冻结事件时间字段、时区、边界规则和预期频率后创建新审计批次
audit-20260728T233014+0800,dq-rules-1.0,0785f82072926b5a6d997122eb58cc200a6fa871125f050c2a4ab94d5d6d9ba5,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000020,未限定,无法判定,未提供正式频率合同,无已证明字段,无法判定,无法判定,事件时间语义、时区或预期频率未形成可验证合同,冻结事件时间字段、时区、边界规则和预期频率后创建新审计批次
audit-20260728T233014+0800,dq-rules-1.0,0785f82072926b5a6d997122eb58cc200a6fa871125f050c2a4ab94d5d6d9ba5,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000021,未限定,无法判定,未提供正式频率合同,无已证明字段,无法判定,无法判定,事件时间语义、时区或预期频率未形成可验证合同,冻结事件时间字段、时区、边界规则和预期频率后创建新审计批次
audit-20260728T233014+0800,dq-rules-1.0,0785f82072926b5a6d997122eb58cc200a6fa871125f050c2a4ab94d5d6d9ba5,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000022,未限定,无法判定,未提供正式频率合同,无已证明字段,无法判定,无法判定,事件时间语义、时区或预期频率未形成可验证合同,冻结事件时间字段、时区、边界规则和预期频率后创建新审计批次
audit-20260728T233014+0800,dq-rules-1.0,0785f82072926b5a6d997122eb58cc200a6fa871125f050c2a4ab94d5d6d9ba5,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000023,未限定,无法判定,未提供正式频率合同,无已证明字段,无法判定,无法判定,事件时间语义、时区或预期频率未形成可验证合同,冻结事件时间字段、时区、边界规则和预期频率后创建新审计批次
audit-20260728T233014+0800,dq-rules-1.0,0785f82072926b5a6d997122eb58cc200a6fa871125f050c2a4ab94d5d6d9ba5,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000024,未限定,无法判定,未提供正式频率合同,无已证明字段,无法判定,无法判定,事件时间语义、时区或预期频率未形成可验证合同,冻结事件时间字段、时区、边界规则和预期频率后创建新审计批次
audit-20260728T233014+0800,dq-rules-1.0,0785f82072926b5a6d997122eb58cc200a6fa871125f050c2a4ab94d5d6d9ba5,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000025,未限定,无法判定,未提供正式频率合同,无已证明字段,无法判定,无法判定,事件时间语义、时区或预期频率未形成可验证合同,冻结事件时间字段、时区、边界规则和预期频率后创建新审计批次
audit-20260728T233014+0800,dq-rules-1.0,0785f82072926b5a6d997122eb58cc200a6fa871125f050c2a4ab94d5d6d9ba5,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000026,未限定,无法判定,未提供正式频率合同,无已证明字段,无法判定,无法判定,事件时间语义、时区或预期频率未形成可验证合同,冻结事件时间字段、时区、边界规则和预期频率后创建新审计批次
audit-20260728T233014+0800,dq-rules-1.0,0785f82072926b5a6d997122eb58cc200a6fa871125f050c2a4ab94d5d6d9ba5,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000027,未限定,无法判定,未提供正式频率合同,无已证明字段,无法判定,无法判定,事件时间语义、时区或预期频率未形成可验证合同,冻结事件时间字段、时区、边界规则和预期频率后创建新审计批次
audit-20260728T233014+0800,dq-rules-1.0,0785f82072926b5a6d997122eb58cc200a6fa871125f050c2a4ab94d5d6d9ba5,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000028,未限定,无法判定,未提供正式频率合同,无已证明字段,无法判定,无法判定,事件时间语义、时区或预期频率未形成可验证合同,冻结事件时间字段、时区、边界规则和预期频率后创建新审计批次
audit-20260728T233014+0800,dq-rules-1.0,0785f82072926b5a6d997122eb58cc200a6fa871125f050c2a4ab94d5d6d9ba5,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000029,未限定,无法判定,未提供正式频率合同,无已证明字段,无法判定,无法判定,事件时间语义、时区或预期频率未形成可验证合同,冻结事件时间字段、时区、边界规则和预期频率后创建新审计批次
audit-20260728T233014+0800,dq-rules-1.0,0785f82072926b5a6d997122eb58cc200a6fa871125f050c2a4ab94d5d6d9ba5,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000030,未限定,无法判定,未提供正式频率合同,无已证明字段,无法判定,无法判定,事件时间语义、时区或预期频率未形成可验证合同,冻结事件时间字段、时区、边界规则和预期频率后创建新审计批次
audit-20260728T233014+0800,dq-rules-1.0,0785f82072926b5a6d997122eb58cc200a6fa871125f050c2a4ab94d5d6d9ba5,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000031,未限定,无法判定,未提供正式频率合同,无已证明字段,无法判定,无法判定,事件时间语义、时区或预期频率未形成可验证合同,冻结事件时间字段、时区、边界规则和预期频率后创建新审计批次
audit-20260728T233014+0800,dq-rules-1.0,0785f82072926b5a6d997122eb58cc200a6fa871125f050c2a4ab94d5d6d9ba5,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000032,未限定,无法判定,未提供正式频率合同,无已证明字段,无法判定,无法判定,事件时间语义、时区或预期频率未形成可验证合同,冻结事件时间字段、时区、边界规则和预期频率后创建新审计批次
audit-20260728T233014+0800,dq-rules-1.0,0785f82072926b5a6d997122eb58cc200a6fa871125f050c2a4ab94d5d6d9ba5,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000033,未限定,无法判定,未提供正式频率合同,无已证明字段,无法判定,无法判定,事件时间语义、时区或预期频率未形成可验证合同,冻结事件时间字段、时区、边界规则和预期频率后创建新审计批次
