审计批次,规则版本,规则指纹,清单指纹,资产编号,资产类型,服务或项目,位置,格式,候选标的范围,扫描状态,扫描完整性,记录数,字段数,结构缺失数,结构缺失率,重复状态,精确重复数,事件时间状态,事件时间候选字段,到达时间状态,到达时间候选字段,采集时间状态,采集时间候选字段,延迟状态,乱序状态,实际覆盖范围,可用性结论,依据,限制,解除条件,证据指纹
audit-20260805T120241+0800,dq-rules-1.0,01938b5b3b9ea940a41c9dd9534ea84cbca061ea2baccd571cd1d940132ee6e8,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000001,候选数据文件,binance-event,/opt/binance-event/data/contracts.sqlite3,SQLite,未限定,输入漂移,未执行,无法判定,无法判定,无法判定,无法判定,无法判定（内容统计未执行）,无法判定,无法判定,orders.close_time、orders.open_time、strategy_decision_events.event_time,无法判定,无,无法判定,database_field_descriptions.created_at、dynamic_threshold_strategy_configs.created_at、fixed_threshold_strategy_configs.created_at、momentum_decay_strategy_configs.created_at、momentum_score_decay_strategy_configs.created_at、orders.created_at、push_delivery_logs.created_at、signal_strategy_chain_configs.created_at、strategy_calculation_metrics.created_at、strategy_decision_events.created_at、strategy_rsi_evaluations.created_at、strategy_signal_evaluations.created_at、threshold_signal_buckets.created_at、threshold_signal_triggers.created_at、volume_price_decay_reversal_strategy_configs.created_at,无法判定（缺少已证明的事件时间与到达时间）,无法判定（缺少已证明的事件时间与排序合同）,无法判定,无法判定,结构与质量证据5ca3ee5659a7922c29e4223dfbbc74c587f97be85dd123b298f351835609239d；结构阶段与质量阶段之间文件身份变化，未执行内容统计,缺少已证明的标的、市场、三类时间、频率、重放和闭环合同；本结果不得用于预测性研究或交易许可,补齐来源、市场、标的、字段、三类时间、频率合同并完成重放与闭环验证,5ca3ee5659a7922c29e4223dfbbc74c587f97be85dd123b298f351835609239d
audit-20260805T120241+0800,dq-rules-1.0,01938b5b3b9ea940a41c9dd9534ea84cbca061ea2baccd571cd1d940132ee6e8,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000002,候选数据文件,binance-event,/opt/binance-event/data/contracts_hand.csv,CSV,未限定,完成,完整,0,27,0,0.000000,已量化（规范记录完全一致）,0,无法判定,无,无法判定,无,无法判定,无,无法判定（缺少已证明的事件时间与到达时间）,无法判定（缺少已证明的事件时间与排序合同）,无法判定,无法判定,结构与质量证据f6e54b68223688ca922713d348b92d03bdeff1c63cca0a0441206e5a26550abd,缺少已证明的标的、市场、三类时间、频率、重放和闭环合同；本结果不得用于预测性研究或交易许可,补齐来源、市场、标的、字段、三类时间、频率合同并完成重放与闭环验证,f6e54b68223688ca922713d348b92d03bdeff1c63cca0a0441206e5a26550abd
audit-20260805T120241+0800,dq-rules-1.0,01938b5b3b9ea940a41c9dd9534ea84cbca061ea2baccd571cd1d940132ee6e8,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000003,候选数据文件,binance-event,/opt/binance-event/data/observation_curves-2026-06-07.jsonl,JSONL,未限定,完成,完整,10,21,0,0.000000,已量化（规范记录完全一致）,0,无法判定,无,无法判定,无,无法判定,无,无法判定（缺少已证明的事件时间与到达时间）,无法判定（缺少已证明的事件时间与排序合同）,无法判定,无法判定,结构与质量证据0e4188ffe34b567096be81d5993750ba3f951bd256cb6ed7fee8f02cc953a05f,缺少已证明的标的、市场、三类时间、频率、重放和闭环合同；本结果不得用于预测性研究或交易许可,补齐来源、市场、标的、字段、三类时间、频率合同并完成重放与闭环验证,0e4188ffe34b567096be81d5993750ba3f951bd256cb6ed7fee8f02cc953a05f
audit-20260805T120241+0800,dq-rules-1.0,01938b5b3b9ea940a41c9dd9534ea84cbca061ea2baccd571cd1d940132ee6e8,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000004,候选数据文件,binance-event,/opt/binance-event/data/observation_curves-2026-06-08.jsonl,JSONL,未限定,完成,完整,17,21,0,0.000000,已量化（规范记录完全一致）,0,无法判定,无,无法判定,无,无法判定,无,无法判定（缺少已证明的事件时间与到达时间）,无法判定（缺少已证明的事件时间与排序合同）,无法判定,无法判定,结构与质量证据7557ce484a65ecb909698ad0becf91b66f88030f1b8e9a3457866c4f58eafa9d,缺少已证明的标的、市场、三类时间、频率、重放和闭环合同；本结果不得用于预测性研究或交易许可,补齐来源、市场、标的、字段、三类时间、频率合同并完成重放与闭环验证,7557ce484a65ecb909698ad0becf91b66f88030f1b8e9a3457866c4f58eafa9d
audit-20260805T120241+0800,dq-rules-1.0,01938b5b3b9ea940a41c9dd9534ea84cbca061ea2baccd571cd1d940132ee6e8,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000005,候选数据文件,binance-event,/opt/binance-event/data/observation_curves-2026-06-09.jsonl,JSONL,未限定,完成,完整,201,22,201,0.045455,已量化（规范记录完全一致）,0,无法判定,无,无法判定,无,无法判定,无,无法判定（缺少已证明的事件时间与到达时间）,无法判定（缺少已证明的事件时间与排序合同）,无法判定,无法判定,结构与质量证据614d6abf61e43e94b9eb025a4442dacf86d40a56170c4c205a77e53d39e390eb,缺少已证明的标的、市场、三类时间、频率、重放和闭环合同；本结果不得用于预测性研究或交易许可,补齐来源、市场、标的、字段、三类时间、频率合同并完成重放与闭环验证,614d6abf61e43e94b9eb025a4442dacf86d40a56170c4c205a77e53d39e390eb
audit-20260805T120241+0800,dq-rules-1.0,01938b5b3b9ea940a41c9dd9534ea84cbca061ea2baccd571cd1d940132ee6e8,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000006,候选数据文件,binance-event,/opt/binance-event/data/observation_curves-2026-06-10.jsonl,JSONL,未限定,完成,完整,168,21,0,0.000000,已量化（规范记录完全一致）,0,无法判定,无,无法判定,无,无法判定,无,无法判定（缺少已证明的事件时间与到达时间）,无法判定（缺少已证明的事件时间与排序合同）,无法判定,无法判定,结构与质量证据418fe03efd0e3a3dd11dd86e92f4b1794ce4b82420e79f4216e37fd0b2d9bcb3,缺少已证明的标的、市场、三类时间、频率、重放和闭环合同；本结果不得用于预测性研究或交易许可,补齐来源、市场、标的、字段、三类时间、频率合同并完成重放与闭环验证,418fe03efd0e3a3dd11dd86e92f4b1794ce4b82420e79f4216e37fd0b2d9bcb3
audit-20260805T120241+0800,dq-rules-1.0,01938b5b3b9ea940a41c9dd9534ea84cbca061ea2baccd571cd1d940132ee6e8,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000007,候选数据文件,binance-event,/opt/binance-event/data/observation_curves-2026-06-11.jsonl,JSONL,未限定,完成,完整,59,21,0,0.000000,已量化（规范记录完全一致）,0,无法判定,无,无法判定,无,无法判定,无,无法判定（缺少已证明的事件时间与到达时间）,无法判定（缺少已证明的事件时间与排序合同）,无法判定,无法判定,结构与质量证据3ebf3dc4893f4dfe26a6e7d3c987ef0bd9f5a1ec4cf267a949b6d455471a2bc2,缺少已证明的标的、市场、三类时间、频率、重放和闭环合同；本结果不得用于预测性研究或交易许可,补齐来源、市场、标的、字段、三类时间、频率合同并完成重放与闭环验证,3ebf3dc4893f4dfe26a6e7d3c987ef0bd9f5a1ec4cf267a949b6d455471a2bc2
audit-20260805T120241+0800,dq-rules-1.0,01938b5b3b9ea940a41c9dd9534ea84cbca061ea2baccd571cd1d940132ee6e8,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000008,候选数据文件,binance-event,/opt/binance-event/data/observation_curves-2026-06-12.jsonl,JSONL,未限定,完成,完整,63,21,0,0.000000,已量化（规范记录完全一致）,0,无法判定,无,无法判定,无,无法判定,无,无法判定（缺少已证明的事件时间与到达时间）,无法判定（缺少已证明的事件时间与排序合同）,无法判定,无法判定,结构与质量证据ab4be389833c28e68da7c53b750567acb9357d09662dbf801bb0a4958f33b6ce,缺少已证明的标的、市场、三类时间、频率、重放和闭环合同；本结果不得用于预测性研究或交易许可,补齐来源、市场、标的、字段、三类时间、频率合同并完成重放与闭环验证,ab4be389833c28e68da7c53b750567acb9357d09662dbf801bb0a4958f33b6ce
audit-20260805T120241+0800,dq-rules-1.0,01938b5b3b9ea940a41c9dd9534ea84cbca061ea2baccd571cd1d940132ee6e8,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000009,候选数据文件,binance-event,/opt/binance-event/data/observation_curves-2026-06-13.jsonl,JSONL,未限定,完成,完整,26,21,0,0.000000,已量化（规范记录完全一致）,0,无法判定,无,无法判定,无,无法判定,无,无法判定（缺少已证明的事件时间与到达时间）,无法判定（缺少已证明的事件时间与排序合同）,无法判定,无法判定,结构与质量证据4849ea5fcc8e131b34e0a1f869cf3091991dd7599d96c208da1663e4dfc52235,缺少已证明的标的、市场、三类时间、频率、重放和闭环合同；本结果不得用于预测性研究或交易许可,补齐来源、市场、标的、字段、三类时间、频率合同并完成重放与闭环验证,4849ea5fcc8e131b34e0a1f869cf3091991dd7599d96c208da1663e4dfc52235
audit-20260805T120241+0800,dq-rules-1.0,01938b5b3b9ea940a41c9dd9534ea84cbca061ea2baccd571cd1d940132ee6e8,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000010,候选数据文件,binance-event,/opt/binance-event/data/observation_curves-2026-06-14.jsonl,JSONL,未限定,完成,完整,67,21,0,0.000000,已量化（规范记录完全一致）,0,无法判定,无,无法判定,无,无法判定,无,无法判定（缺少已证明的事件时间与到达时间）,无法判定（缺少已证明的事件时间与排序合同）,无法判定,无法判定,结构与质量证据8562243991398d91135b1772abbc3ac55944daadb403bff7c09173a62c9c9c77,缺少已证明的标的、市场、三类时间、频率、重放和闭环合同；本结果不得用于预测性研究或交易许可,补齐来源、市场、标的、字段、三类时间、频率合同并完成重放与闭环验证,8562243991398d91135b1772abbc3ac55944daadb403bff7c09173a62c9c9c77
