审计批次,规则版本,规则指纹,清单指纹,资产编号,资产类型,服务或项目,位置,格式,候选标的范围,扫描状态,扫描完整性,记录数,字段数,结构缺失数,结构缺失率,重复状态,精确重复数,事件时间状态,事件时间候选字段,到达时间状态,到达时间候选字段,采集时间状态,采集时间候选字段,延迟状态,乱序状态,实际覆盖范围,可用性结论,依据,限制,解除条件,证据指纹
audit-20260728T230058+0800,dq-rules-1.0,79579fff3c04192841d87515a8af667e4550ab6616088807a47e0eb0410433b7,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000001,候选数据文件,binance-event,/opt/binance-event/data/contracts.sqlite3,SQLite,未限定,完成,完整,281177,257,379834,0.005256,已量化（SQLite声明主键）,0,无法判定,无,无法判定,无,无法判定,无,无法判定（缺少已证明的事件时间与到达时间）,无法判定（缺少已证明的事件时间与排序合同）,无法判定,无法判定,结构与质量证据947d33abdd4fdae39242ef3fef4531bcbc4fbf400cf977ddf81e9a44d1502ee1,缺少已证明的标的、市场、三类时间、频率、重放和闭环合同；本结果不得用于预测性研究或交易许可,补齐来源、市场、标的、字段、三类时间、频率合同并完成重放与闭环验证,947d33abdd4fdae39242ef3fef4531bcbc4fbf400cf977ddf81e9a44d1502ee1
audit-20260728T230058+0800,dq-rules-1.0,79579fff3c04192841d87515a8af667e4550ab6616088807a47e0eb0410433b7,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000002,候选数据文件,binance-event,/opt/binance-event/data/contracts_hand.csv,CSV,未限定,完成,完整,0,27,0,0.000000,已量化（规范记录完全一致）,0,无法判定,无,无法判定,无,无法判定,无,无法判定（缺少已证明的事件时间与到达时间）,无法判定（缺少已证明的事件时间与排序合同）,无法判定,无法判定,结构与质量证据af2461f55fb7de1f15544887e4b1f22b4ec14250df1192e7848aa18739b3a950,缺少已证明的标的、市场、三类时间、频率、重放和闭环合同；本结果不得用于预测性研究或交易许可,补齐来源、市场、标的、字段、三类时间、频率合同并完成重放与闭环验证,af2461f55fb7de1f15544887e4b1f22b4ec14250df1192e7848aa18739b3a950
audit-20260728T230058+0800,dq-rules-1.0,79579fff3c04192841d87515a8af667e4550ab6616088807a47e0eb0410433b7,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000003,候选数据文件,binance-event,/opt/binance-event/data/observation_curves-2026-06-07.jsonl,JSONL,未限定,完成,完整,10,21,0,0.000000,已量化（规范记录完全一致）,0,无法判定,无,无法判定,无,无法判定,无,无法判定（缺少已证明的事件时间与到达时间）,无法判定（缺少已证明的事件时间与排序合同）,无法判定,无法判定,结构与质量证据1cafd0bba9ae59724f9fd02c5c30a49e8370a47db19faaf605008e7b75f9d8be,缺少已证明的标的、市场、三类时间、频率、重放和闭环合同；本结果不得用于预测性研究或交易许可,补齐来源、市场、标的、字段、三类时间、频率合同并完成重放与闭环验证,1cafd0bba9ae59724f9fd02c5c30a49e8370a47db19faaf605008e7b75f9d8be
audit-20260728T230058+0800,dq-rules-1.0,79579fff3c04192841d87515a8af667e4550ab6616088807a47e0eb0410433b7,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000004,候选数据文件,binance-event,/opt/binance-event/data/observation_curves-2026-06-08.jsonl,JSONL,未限定,完成,完整,17,21,0,0.000000,已量化（规范记录完全一致）,0,无法判定,无,无法判定,无,无法判定,无,无法判定（缺少已证明的事件时间与到达时间）,无法判定（缺少已证明的事件时间与排序合同）,无法判定,无法判定,结构与质量证据50ad40e84d1bcfed6b2985be01b95344190fbe6b347905e4cc5424491aea769e,缺少已证明的标的、市场、三类时间、频率、重放和闭环合同；本结果不得用于预测性研究或交易许可,补齐来源、市场、标的、字段、三类时间、频率合同并完成重放与闭环验证,50ad40e84d1bcfed6b2985be01b95344190fbe6b347905e4cc5424491aea769e
audit-20260728T230058+0800,dq-rules-1.0,79579fff3c04192841d87515a8af667e4550ab6616088807a47e0eb0410433b7,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000005,候选数据文件,binance-event,/opt/binance-event/data/observation_curves-2026-06-09.jsonl,JSONL,未限定,完成,完整,201,22,201,0.045455,已量化（规范记录完全一致）,0,无法判定,无,无法判定,无,无法判定,无,无法判定（缺少已证明的事件时间与到达时间）,无法判定（缺少已证明的事件时间与排序合同）,无法判定,无法判定,结构与质量证据e9ff35a2b1d7eca03169d57989cbb34305790193c50c8031a5ec2ef1cd389ba2,缺少已证明的标的、市场、三类时间、频率、重放和闭环合同；本结果不得用于预测性研究或交易许可,补齐来源、市场、标的、字段、三类时间、频率合同并完成重放与闭环验证,e9ff35a2b1d7eca03169d57989cbb34305790193c50c8031a5ec2ef1cd389ba2
audit-20260728T230058+0800,dq-rules-1.0,79579fff3c04192841d87515a8af667e4550ab6616088807a47e0eb0410433b7,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000006,候选数据文件,binance-event,/opt/binance-event/data/observation_curves-2026-06-10.jsonl,JSONL,未限定,完成,完整,168,21,0,0.000000,已量化（规范记录完全一致）,0,无法判定,无,无法判定,无,无法判定,无,无法判定（缺少已证明的事件时间与到达时间）,无法判定（缺少已证明的事件时间与排序合同）,无法判定,无法判定,结构与质量证据2aca5a32ac2c893458ae628f4dd62f6f7a125523fb9723e018118f38cc936b0e,缺少已证明的标的、市场、三类时间、频率、重放和闭环合同；本结果不得用于预测性研究或交易许可,补齐来源、市场、标的、字段、三类时间、频率合同并完成重放与闭环验证,2aca5a32ac2c893458ae628f4dd62f6f7a125523fb9723e018118f38cc936b0e
audit-20260728T230058+0800,dq-rules-1.0,79579fff3c04192841d87515a8af667e4550ab6616088807a47e0eb0410433b7,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000007,候选数据文件,binance-event,/opt/binance-event/data/observation_curves-2026-06-11.jsonl,JSONL,未限定,完成,完整,59,21,0,0.000000,已量化（规范记录完全一致）,0,无法判定,无,无法判定,无,无法判定,无,无法判定（缺少已证明的事件时间与到达时间）,无法判定（缺少已证明的事件时间与排序合同）,无法判定,无法判定,结构与质量证据f21598dae84ad874767d05a72d184cf4da09d024e5976d0b50416a109531fe82,缺少已证明的标的、市场、三类时间、频率、重放和闭环合同；本结果不得用于预测性研究或交易许可,补齐来源、市场、标的、字段、三类时间、频率合同并完成重放与闭环验证,f21598dae84ad874767d05a72d184cf4da09d024e5976d0b50416a109531fe82
audit-20260728T230058+0800,dq-rules-1.0,79579fff3c04192841d87515a8af667e4550ab6616088807a47e0eb0410433b7,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000008,候选数据文件,binance-event,/opt/binance-event/data/observation_curves-2026-06-12.jsonl,JSONL,未限定,完成,完整,63,21,0,0.000000,已量化（规范记录完全一致）,0,无法判定,无,无法判定,无,无法判定,无,无法判定（缺少已证明的事件时间与到达时间）,无法判定（缺少已证明的事件时间与排序合同）,无法判定,无法判定,结构与质量证据b574845a790b2f73e29e5049420ccb83ce70e43a9c1a839f85226c58ac0f008e,缺少已证明的标的、市场、三类时间、频率、重放和闭环合同；本结果不得用于预测性研究或交易许可,补齐来源、市场、标的、字段、三类时间、频率合同并完成重放与闭环验证,b574845a790b2f73e29e5049420ccb83ce70e43a9c1a839f85226c58ac0f008e
audit-20260728T230058+0800,dq-rules-1.0,79579fff3c04192841d87515a8af667e4550ab6616088807a47e0eb0410433b7,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000009,候选数据文件,binance-event,/opt/binance-event/data/observation_curves-2026-06-13.jsonl,JSONL,未限定,完成,完整,26,21,0,0.000000,已量化（规范记录完全一致）,0,无法判定,无,无法判定,无,无法判定,无,无法判定（缺少已证明的事件时间与到达时间）,无法判定（缺少已证明的事件时间与排序合同）,无法判定,无法判定,结构与质量证据83f2e667fe0540845d449fa559763c7f6fd3230099026f9b3fb05a220b0e95b4,缺少已证明的标的、市场、三类时间、频率、重放和闭环合同；本结果不得用于预测性研究或交易许可,补齐来源、市场、标的、字段、三类时间、频率合同并完成重放与闭环验证,83f2e667fe0540845d449fa559763c7f6fd3230099026f9b3fb05a220b0e95b4
audit-20260728T230058+0800,dq-rules-1.0,79579fff3c04192841d87515a8af667e4550ab6616088807a47e0eb0410433b7,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,DS-000010,候选数据文件,binance-event,/opt/binance-event/data/observation_curves-2026-06-14.jsonl,JSONL,未限定,完成,完整,67,21,0,0.000000,已量化（规范记录完全一致）,0,无法判定,无,无法判定,无,无法判定,无,无法判定（缺少已证明的事件时间与到达时间）,无法判定（缺少已证明的事件时间与排序合同）,无法判定,无法判定,结构与质量证据d33e0797044662ca827c93b121cf1cd556ef55f4ccb32a4729d2639c1fba5816,缺少已证明的标的、市场、三类时间、频率、重放和闭环合同；本结果不得用于预测性研究或交易许可,补齐来源、市场、标的、字段、三类时间、频率合同并完成重放与闭环验证,d33e0797044662ca827c93b121cf1cd556ef55f4ccb32a4729d2639c1fba5816
