验证批次,资产编号,标的,来源成员编号,交易场所,市场类型,精确合约,方向,阶段,主研究尺度,历史时点,可信重放结论,成本来源状态,手续费状态,价差状态,深度状态,冲击状态,资金费率状态,执行延迟状态,可成交量状态,输入数据版本,输入数据哈希,规则版本,代码版本,输入指纹,输出指纹,结论,原因代码,依据,解除条件
cost-20260805T015500+0800-b1e4c0a9d7f2,DS-000001,BTC,ZI-bf37564aac87c9161a93ff81,未判定,未判定,未判定,未判定,未判定,未判定（仅允许4小时/8小时/24小时/48小时）,未判定,拒绝,拒绝（输入身份漂移）,拒绝,拒绝,拒绝,拒绝,拒绝,拒绝,拒绝,未判定,未判定,cost-execution-1.0,ca7102ef54f4c2b190484871e99401aef601fecad5b7ca08b8144fb0c8d629d5,046a54781fc55977c31825b647f9bbcca541288ce74a893f56bf6f312ab0a260,a6dc6c30cba6502be2cfa5f8fb93a12d4cf6ac8c680b316607f8ae501cd11e84,拒绝,input_identity_drift,任务-000032输入身份漂移，或尚无获批成本来源登记；未读取当前费率/盘口/账户信息,登记带来源、时间、版本、数据截止和可见性证据的手续费、价差、深度、冲击、资金费率、延迟和可成交量；重新发布批次
cost-20260805T015500+0800-b1e4c0a9d7f2,DS-000001,ETH,ZI-c5c903e8e1925632a9160c98,未判定,未判定,未判定,未判定,未判定,未判定（仅允许4小时/8小时/24小时/48小时）,未判定,拒绝,拒绝（输入身份漂移）,拒绝,拒绝,拒绝,拒绝,拒绝,拒绝,拒绝,未判定,未判定,cost-execution-1.0,ca7102ef54f4c2b190484871e99401aef601fecad5b7ca08b8144fb0c8d629d5,046a54781fc55977c31825b647f9bbcca541288ce74a893f56bf6f312ab0a260,cc549064c73ff04f6743bb99cb68d4bd5b8daf743ff77531c9b37bc584ad7f67,拒绝,input_identity_drift,任务-000032输入身份漂移，或尚无获批成本来源登记；未读取当前费率/盘口/账户信息,登记带来源、时间、版本、数据截止和可见性证据的手续费、价差、深度、冲击、资金费率、延迟和可成交量；重新发布批次
cost-20260805T015500+0800-b1e4c0a9d7f2,DS-000002,BTC,ZI-3846d7813100d3d883f9e584,未判定,未判定,未判定,未判定,未判定,未判定（仅允许4小时/8小时/24小时/48小时）,未判定,无法判定,无法判定（成本来源未登记）,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,未判定,未判定,cost-execution-1.0,ca7102ef54f4c2b190484871e99401aef601fecad5b7ca08b8144fb0c8d629d5,f6e54b68223688ca922713d348b92d03bdeff1c63cca0a0441206e5a26550abd,39792ad86c5f93b7ac781fdb951017946444278d5a13784b15bbcdbd6ba39399,无法判定,cost_source_missing,任务-000032输入身份漂移，或尚无获批成本来源登记；未读取当前费率/盘口/账户信息,登记带来源、时间、版本、数据截止和可见性证据的手续费、价差、深度、冲击、资金费率、延迟和可成交量；重新发布批次
cost-20260805T015500+0800-b1e4c0a9d7f2,DS-000002,ETH,ZI-279894722b92c663c0dd6dab,未判定,未判定,未判定,未判定,未判定,未判定（仅允许4小时/8小时/24小时/48小时）,未判定,无法判定,无法判定（成本来源未登记）,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,未判定,未判定,cost-execution-1.0,ca7102ef54f4c2b190484871e99401aef601fecad5b7ca08b8144fb0c8d629d5,f6e54b68223688ca922713d348b92d03bdeff1c63cca0a0441206e5a26550abd,ebb1312e01138de318d6a5155531b1304b51098194c534542a6761a06c3f90ad,无法判定,cost_source_missing,任务-000032输入身份漂移，或尚无获批成本来源登记；未读取当前费率/盘口/账户信息,登记带来源、时间、版本、数据截止和可见性证据的手续费、价差、深度、冲击、资金费率、延迟和可成交量；重新发布批次
cost-20260805T015500+0800-b1e4c0a9d7f2,DS-000003,BTC,ZI-bad7fbdd2fd2ed50c31757ed,未判定,未判定,未判定,未判定,未判定,未判定（仅允许4小时/8小时/24小时/48小时）,未判定,无法判定,无法判定（成本来源未登记）,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,未判定,未判定,cost-execution-1.0,ca7102ef54f4c2b190484871e99401aef601fecad5b7ca08b8144fb0c8d629d5,0e4188ffe34b567096be81d5993750ba3f951bd256cb6ed7fee8f02cc953a05f,bf3680b5a54d2ab096c09d2218036c98d7b0f66c2eb7c9cbbb56ba68e244ab6a,无法判定,cost_source_missing,任务-000032输入身份漂移，或尚无获批成本来源登记；未读取当前费率/盘口/账户信息,登记带来源、时间、版本、数据截止和可见性证据的手续费、价差、深度、冲击、资金费率、延迟和可成交量；重新发布批次
cost-20260805T015500+0800-b1e4c0a9d7f2,DS-000003,ETH,ZI-bdc11e9d61341a2c9190bedb,未判定,未判定,未判定,未判定,未判定,未判定（仅允许4小时/8小时/24小时/48小时）,未判定,无法判定,无法判定（成本来源未登记）,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,未判定,未判定,cost-execution-1.0,ca7102ef54f4c2b190484871e99401aef601fecad5b7ca08b8144fb0c8d629d5,0e4188ffe34b567096be81d5993750ba3f951bd256cb6ed7fee8f02cc953a05f,6520723a1d100f8a0028b297bad5ab54a596b3d734a100e608ff07b892dbe869,无法判定,cost_source_missing,任务-000032输入身份漂移，或尚无获批成本来源登记；未读取当前费率/盘口/账户信息,登记带来源、时间、版本、数据截止和可见性证据的手续费、价差、深度、冲击、资金费率、延迟和可成交量；重新发布批次
cost-20260805T015500+0800-b1e4c0a9d7f2,DS-000004,BTC,ZI-4dee483dff86ed829a01f96f,未判定,未判定,未判定,未判定,未判定,未判定（仅允许4小时/8小时/24小时/48小时）,未判定,无法判定,无法判定（成本来源未登记）,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,未判定,未判定,cost-execution-1.0,ca7102ef54f4c2b190484871e99401aef601fecad5b7ca08b8144fb0c8d629d5,7557ce484a65ecb909698ad0becf91b66f88030f1b8e9a3457866c4f58eafa9d,73e9d58cb0c6fd6b4fb4d83aefa8acb97f3a3a3ce631404e22a98637d57a0eb7,无法判定,cost_source_missing,任务-000032输入身份漂移，或尚无获批成本来源登记；未读取当前费率/盘口/账户信息,登记带来源、时间、版本、数据截止和可见性证据的手续费、价差、深度、冲击、资金费率、延迟和可成交量；重新发布批次
cost-20260805T015500+0800-b1e4c0a9d7f2,DS-000004,ETH,ZI-f48b5e18e673871688598192,未判定,未判定,未判定,未判定,未判定,未判定（仅允许4小时/8小时/24小时/48小时）,未判定,无法判定,无法判定（成本来源未登记）,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,未判定,未判定,cost-execution-1.0,ca7102ef54f4c2b190484871e99401aef601fecad5b7ca08b8144fb0c8d629d5,7557ce484a65ecb909698ad0becf91b66f88030f1b8e9a3457866c4f58eafa9d,7cb7d4a8d91c50eeabcf9b47d6a0a2b3055fa50290f7f416b56e7a5e7a0fd806,无法判定,cost_source_missing,任务-000032输入身份漂移，或尚无获批成本来源登记；未读取当前费率/盘口/账户信息,登记带来源、时间、版本、数据截止和可见性证据的手续费、价差、深度、冲击、资金费率、延迟和可成交量；重新发布批次
cost-20260805T015500+0800-b1e4c0a9d7f2,DS-000005,BTC,ZI-afe25106735b4aef36d7615a,未判定,未判定,未判定,未判定,未判定,未判定（仅允许4小时/8小时/24小时/48小时）,未判定,无法判定,无法判定（成本来源未登记）,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,未判定,未判定,cost-execution-1.0,ca7102ef54f4c2b190484871e99401aef601fecad5b7ca08b8144fb0c8d629d5,614d6abf61e43e94b9eb025a4442dacf86d40a56170c4c205a77e53d39e390eb,da40ede8abeaa7fbca5adbe7d466b650e82ab8dc19d1dc571acb4685d3e18213,无法判定,cost_source_missing,任务-000032输入身份漂移，或尚无获批成本来源登记；未读取当前费率/盘口/账户信息,登记带来源、时间、版本、数据截止和可见性证据的手续费、价差、深度、冲击、资金费率、延迟和可成交量；重新发布批次
cost-20260805T015500+0800-b1e4c0a9d7f2,DS-000005,ETH,ZI-8353e10a871d52c975353c3f,未判定,未判定,未判定,未判定,未判定,未判定（仅允许4小时/8小时/24小时/48小时）,未判定,无法判定,无法判定（成本来源未登记）,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,未判定,未判定,cost-execution-1.0,ca7102ef54f4c2b190484871e99401aef601fecad5b7ca08b8144fb0c8d629d5,614d6abf61e43e94b9eb025a4442dacf86d40a56170c4c205a77e53d39e390eb,393e306f88a7c7145842a0485baee0d52fb3e7ae39d97169a7c52d4b04f72f67,无法判定,cost_source_missing,任务-000032输入身份漂移，或尚无获批成本来源登记；未读取当前费率/盘口/账户信息,登记带来源、时间、版本、数据截止和可见性证据的手续费、价差、深度、冲击、资金费率、延迟和可成交量；重新发布批次
