验证批次,资产编号,标的,来源成员编号,交易场所,市场类型,精确合约,方向,阶段,主研究尺度,历史时点,可信重放结论,成本来源状态,手续费状态,价差状态,深度状态,冲击状态,资金费率状态,执行延迟状态,可成交量状态,输入数据版本,输入数据哈希,规则版本,代码版本,输入指纹,输出指纹,结论,原因代码,依据,解除条件
cost-20260805T020500+0800-c2d7a91e5f40,DS-000001,BTC,ZI-bf37564aac87c9161a93ff81,未判定,未判定,未判定,未判定,未判定,未判定（仅允许4小时/8小时/24小时/48小时）,未判定,拒绝,拒绝（输入身份漂移）,拒绝,拒绝,拒绝,拒绝,拒绝,拒绝,拒绝,未判定,未判定,cost-execution-1.0,b9105065a2665453de29bf9889dd34dbfbd0604f440d51529c19dc16e92ddabf,046a54781fc55977c31825b647f9bbcca541288ce74a893f56bf6f312ab0a260,a248c3391b60543b0a443d9c43ae8e0782c7cd2178e89129ad3f56dea449f5b6,拒绝,input_identity_drift,任务-000032输入身份漂移，或尚无获批成本来源登记；未读取当前费率/盘口/账户信息,登记带来源、时间、版本、数据截止和可见性证据的手续费、价差、深度、冲击、资金费率、延迟和可成交量；重新发布批次
cost-20260805T020500+0800-c2d7a91e5f40,DS-000001,ETH,ZI-c5c903e8e1925632a9160c98,未判定,未判定,未判定,未判定,未判定,未判定（仅允许4小时/8小时/24小时/48小时）,未判定,拒绝,拒绝（输入身份漂移）,拒绝,拒绝,拒绝,拒绝,拒绝,拒绝,拒绝,未判定,未判定,cost-execution-1.0,b9105065a2665453de29bf9889dd34dbfbd0604f440d51529c19dc16e92ddabf,046a54781fc55977c31825b647f9bbcca541288ce74a893f56bf6f312ab0a260,bbfdccaec6db854d4bd298e8a32d277b7943ecafb9b1049bc68ce53082195686,拒绝,input_identity_drift,任务-000032输入身份漂移，或尚无获批成本来源登记；未读取当前费率/盘口/账户信息,登记带来源、时间、版本、数据截止和可见性证据的手续费、价差、深度、冲击、资金费率、延迟和可成交量；重新发布批次
cost-20260805T020500+0800-c2d7a91e5f40,DS-000002,BTC,ZI-3846d7813100d3d883f9e584,未判定,未判定,未判定,未判定,未判定,未判定（仅允许4小时/8小时/24小时/48小时）,未判定,无法判定,无法判定（成本来源未登记）,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,未判定,未判定,cost-execution-1.0,b9105065a2665453de29bf9889dd34dbfbd0604f440d51529c19dc16e92ddabf,f6e54b68223688ca922713d348b92d03bdeff1c63cca0a0441206e5a26550abd,8967526b41b2b6fe6984a8f20af8b182f8b4c4a77e398cf6348d1bd81819e51d,无法判定,cost_source_missing,任务-000032输入身份漂移，或尚无获批成本来源登记；未读取当前费率/盘口/账户信息,登记带来源、时间、版本、数据截止和可见性证据的手续费、价差、深度、冲击、资金费率、延迟和可成交量；重新发布批次
cost-20260805T020500+0800-c2d7a91e5f40,DS-000002,ETH,ZI-279894722b92c663c0dd6dab,未判定,未判定,未判定,未判定,未判定,未判定（仅允许4小时/8小时/24小时/48小时）,未判定,无法判定,无法判定（成本来源未登记）,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,未判定,未判定,cost-execution-1.0,b9105065a2665453de29bf9889dd34dbfbd0604f440d51529c19dc16e92ddabf,f6e54b68223688ca922713d348b92d03bdeff1c63cca0a0441206e5a26550abd,577de3d8483a35cc3043a6a39fa12ada284194e65796bbce6bd43cf766dc9498,无法判定,cost_source_missing,任务-000032输入身份漂移，或尚无获批成本来源登记；未读取当前费率/盘口/账户信息,登记带来源、时间、版本、数据截止和可见性证据的手续费、价差、深度、冲击、资金费率、延迟和可成交量；重新发布批次
cost-20260805T020500+0800-c2d7a91e5f40,DS-000003,BTC,ZI-bad7fbdd2fd2ed50c31757ed,未判定,未判定,未判定,未判定,未判定,未判定（仅允许4小时/8小时/24小时/48小时）,未判定,无法判定,无法判定（成本来源未登记）,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,未判定,未判定,cost-execution-1.0,b9105065a2665453de29bf9889dd34dbfbd0604f440d51529c19dc16e92ddabf,0e4188ffe34b567096be81d5993750ba3f951bd256cb6ed7fee8f02cc953a05f,bb0cb8755be691c01b25333edaff8efecf7595a6886b3b21017e5226d5967101,无法判定,cost_source_missing,任务-000032输入身份漂移，或尚无获批成本来源登记；未读取当前费率/盘口/账户信息,登记带来源、时间、版本、数据截止和可见性证据的手续费、价差、深度、冲击、资金费率、延迟和可成交量；重新发布批次
cost-20260805T020500+0800-c2d7a91e5f40,DS-000003,ETH,ZI-bdc11e9d61341a2c9190bedb,未判定,未判定,未判定,未判定,未判定,未判定（仅允许4小时/8小时/24小时/48小时）,未判定,无法判定,无法判定（成本来源未登记）,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,未判定,未判定,cost-execution-1.0,b9105065a2665453de29bf9889dd34dbfbd0604f440d51529c19dc16e92ddabf,0e4188ffe34b567096be81d5993750ba3f951bd256cb6ed7fee8f02cc953a05f,61f9a3fb10c743de5225ae0a31d9c04bd7ebdcca1ec854012854b7a5f975f871,无法判定,cost_source_missing,任务-000032输入身份漂移，或尚无获批成本来源登记；未读取当前费率/盘口/账户信息,登记带来源、时间、版本、数据截止和可见性证据的手续费、价差、深度、冲击、资金费率、延迟和可成交量；重新发布批次
cost-20260805T020500+0800-c2d7a91e5f40,DS-000004,BTC,ZI-4dee483dff86ed829a01f96f,未判定,未判定,未判定,未判定,未判定,未判定（仅允许4小时/8小时/24小时/48小时）,未判定,无法判定,无法判定（成本来源未登记）,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,未判定,未判定,cost-execution-1.0,b9105065a2665453de29bf9889dd34dbfbd0604f440d51529c19dc16e92ddabf,7557ce484a65ecb909698ad0becf91b66f88030f1b8e9a3457866c4f58eafa9d,72d8c7f8551d73e0f42875a740fab95a075df169de41f62e1ce6277cbb00e81d,无法判定,cost_source_missing,任务-000032输入身份漂移，或尚无获批成本来源登记；未读取当前费率/盘口/账户信息,登记带来源、时间、版本、数据截止和可见性证据的手续费、价差、深度、冲击、资金费率、延迟和可成交量；重新发布批次
cost-20260805T020500+0800-c2d7a91e5f40,DS-000004,ETH,ZI-f48b5e18e673871688598192,未判定,未判定,未判定,未判定,未判定,未判定（仅允许4小时/8小时/24小时/48小时）,未判定,无法判定,无法判定（成本来源未登记）,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,未判定,未判定,cost-execution-1.0,b9105065a2665453de29bf9889dd34dbfbd0604f440d51529c19dc16e92ddabf,7557ce484a65ecb909698ad0becf91b66f88030f1b8e9a3457866c4f58eafa9d,ee50931a187990a3bee97d27a397ca1f0e8781d034e57f5a26f2af87f2a90781,无法判定,cost_source_missing,任务-000032输入身份漂移，或尚无获批成本来源登记；未读取当前费率/盘口/账户信息,登记带来源、时间、版本、数据截止和可见性证据的手续费、价差、深度、冲击、资金费率、延迟和可成交量；重新发布批次
cost-20260805T020500+0800-c2d7a91e5f40,DS-000005,BTC,ZI-afe25106735b4aef36d7615a,未判定,未判定,未判定,未判定,未判定,未判定（仅允许4小时/8小时/24小时/48小时）,未判定,无法判定,无法判定（成本来源未登记）,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,未判定,未判定,cost-execution-1.0,b9105065a2665453de29bf9889dd34dbfbd0604f440d51529c19dc16e92ddabf,614d6abf61e43e94b9eb025a4442dacf86d40a56170c4c205a77e53d39e390eb,3305f2f95620c3f3c86a312193eca9805f7c15dfcdbdf91749de1544e940b923,无法判定,cost_source_missing,任务-000032输入身份漂移，或尚无获批成本来源登记；未读取当前费率/盘口/账户信息,登记带来源、时间、版本、数据截止和可见性证据的手续费、价差、深度、冲击、资金费率、延迟和可成交量；重新发布批次
cost-20260805T020500+0800-c2d7a91e5f40,DS-000005,ETH,ZI-8353e10a871d52c975353c3f,未判定,未判定,未判定,未判定,未判定,未判定（仅允许4小时/8小时/24小时/48小时）,未判定,无法判定,无法判定（成本来源未登记）,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,未判定,未判定,cost-execution-1.0,b9105065a2665453de29bf9889dd34dbfbd0604f440d51529c19dc16e92ddabf,614d6abf61e43e94b9eb025a4442dacf86d40a56170c4c205a77e53d39e390eb,3772c2845293cfb2769a757fb23bebb8ce17dd14538d8ab98168c0ce33426c93,无法判定,cost_source_missing,任务-000032输入身份漂移，或尚无获批成本来源登记；未读取当前费率/盘口/账户信息,登记带来源、时间、版本、数据截止和可见性证据的手续费、价差、深度、冲击、资金费率、延迟和可成交量；重新发布批次
