来源身份批次,成员编号,资产编号,资产类型,标的,输入成员SHA-256,数据库Schema,数据库表,状态,元数据状态,原因代码,证据定位,结构证据,限制,解除条件,元数据SHA-256,SchemaSHA-256,授权边界快照SHA-256,探针SHA-256,规则SHA-256,执行器SHA-256,成员记录SHA-256
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-0694ca8ffce7194a5edb1a0f,DS-000225,数据库元数据,BTC,31c46439848b2efd4dd25f0894f6ce7296e53e7d983b81530451c4d4879bc220,sha256:1b3721e3d6a8995a1e0d893bc9b9bfc4a635926c1d47d9857382d46e2b282a73,sha256:815553aa7655355f643b7d290d7945f84eb3177e024c5474d1fe465bcee45382,无法判定,已观察,METADATA_OBSERVED_IDENTITY_UNPROVEN,固定探针:information_schema.TABLES;information_schema.COLUMNS;资产编号=DS-000225;成员编号=ZI-0694ca8ffce7194a5edb1a0f;元数据SHA-256=a269b56ec339fcb6cfcca78d0bf20fbbc8253607ea5e79893d65f7f1a1f85d8d;SchemaSHA-256=4dab12afc3c64863e57eeae51b6ccf945d90d871ff36f4b8e885f33eb315ca7d,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,a269b56ec339fcb6cfcca78d0bf20fbbc8253607ea5e79893d65f7f1a1f85d8d,4dab12afc3c64863e57eeae51b6ccf945d90d871ff36f4b8e885f33eb315ca7d,aadeb10880a243ecfe9d20e1038223fbd1086a8df3765d7ec06ff18578c35165,f0a46caae4e700b4d7e8788896383201febdaa57f5afb83ab43f181df84e1163,72c3616f20bcbe57242c938ae452c8c7faa2b9515998bf6a041c8e8186eb157d,863820c7a51bf29679eaf74c6ea558adde67dddcd597ce570022fff608546cda,ebfca04a2eb16a6ade40e75ddda9e84555874e9f344fecefe09769bec2c45af2
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-b14dc6c9a93cf52c6c414771,DS-000226,数据库元数据,BTC,6a81bb21010d297d98dd3ec7d464e7118f4b2d9fe881e05831f744f092a7bb21,sha256:1b3721e3d6a8995a1e0d893bc9b9bfc4a635926c1d47d9857382d46e2b282a73,sha256:b1ad31c91e94ac3402117b6a0573ec3ff5bbdff378376ac6c3217a39ebeefb80,无法判定,已观察,METADATA_OBSERVED_IDENTITY_UNPROVEN,固定探针:information_schema.TABLES;information_schema.COLUMNS;资产编号=DS-000226;成员编号=ZI-b14dc6c9a93cf52c6c414771;元数据SHA-256=64537337886a30defffb4607295e2b422e85cf0987b5d686e40645a170354524;SchemaSHA-256=ba51a86ffd49ba3736a8c7ae82602db4fc7c5f807dd5323d34a29f3096bd24a1,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,64537337886a30defffb4607295e2b422e85cf0987b5d686e40645a170354524,ba51a86ffd49ba3736a8c7ae82602db4fc7c5f807dd5323d34a29f3096bd24a1,9f2abc116b9f2160691b63bd45daaa4396cfa6768e38006aec202551a4a2fa84,f0a46caae4e700b4d7e8788896383201febdaa57f5afb83ab43f181df84e1163,72c3616f20bcbe57242c938ae452c8c7faa2b9515998bf6a041c8e8186eb157d,863820c7a51bf29679eaf74c6ea558adde67dddcd597ce570022fff608546cda,9e918de1ddb45252280e1568cf6c1b3f22267b1890ccc2ed2733d430e13e9094
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-bb74646c795efd1568463fd5,DS-000227,数据库元数据,BTC,2ac0c84203efd9c2735cdb91f464d07bc39ee71c28da7cdc8cf4b0a2c0c359f7,sha256:1b3721e3d6a8995a1e0d893bc9b9bfc4a635926c1d47d9857382d46e2b282a73,sha256:bfd5a6aa0a7ac13fd239b0224a50fc66764ea9c508109a078a3adde107b66213,无法判定,已观察,METADATA_OBSERVED_IDENTITY_UNPROVEN,固定探针:information_schema.TABLES;information_schema.COLUMNS;资产编号=DS-000227;成员编号=ZI-bb74646c795efd1568463fd5;元数据SHA-256=fe969debfaafe3cf452e413f47e76d27cb8f6c735b94c479a231cf41cd64a925;SchemaSHA-256=f303e9b4ba4d12fd90e13c62055a4669d06247883f16cb00a550cd72e73ec300,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,fe969debfaafe3cf452e413f47e76d27cb8f6c735b94c479a231cf41cd64a925,f303e9b4ba4d12fd90e13c62055a4669d06247883f16cb00a550cd72e73ec300,bcc66a4ebf10c718fd4f136f210ca29f4e13d0fca53e111fd9ac06b8cb289d87,f0a46caae4e700b4d7e8788896383201febdaa57f5afb83ab43f181df84e1163,72c3616f20bcbe57242c938ae452c8c7faa2b9515998bf6a041c8e8186eb157d,863820c7a51bf29679eaf74c6ea558adde67dddcd597ce570022fff608546cda,debfd2363fe8ca4611b02e40b5211869f23779a69310d5d7ba73de88dc33d3e5
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-e5230a52ad3a08cbc1de9499,DS-000228,数据库元数据,BTC,ded39db7f820476590ee31689b0e683dd170115a1af80b15191867fc8cfc2848,sha256:1b3721e3d6a8995a1e0d893bc9b9bfc4a635926c1d47d9857382d46e2b282a73,sha256:eec83270ecf327ec5ba3a62bbbed990f735fcf58ba087577e43b4d909f274555,无法判定,已观察,METADATA_OBSERVED_IDENTITY_UNPROVEN,固定探针:information_schema.TABLES;information_schema.COLUMNS;资产编号=DS-000228;成员编号=ZI-e5230a52ad3a08cbc1de9499;元数据SHA-256=f5b94cca262e126f08554674644c61f37cf93ba258489eaafb849979f20b3ad8;SchemaSHA-256=ecf64f4dfa161534a8dac8e5da721486cf56979815d312d3b10626859289add0,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,f5b94cca262e126f08554674644c61f37cf93ba258489eaafb849979f20b3ad8,ecf64f4dfa161534a8dac8e5da721486cf56979815d312d3b10626859289add0,ceb7af4b52a9f78d2c74cc22851253c1babb2516baf3195f1f16bdc808db3556,f0a46caae4e700b4d7e8788896383201febdaa57f5afb83ab43f181df84e1163,72c3616f20bcbe57242c938ae452c8c7faa2b9515998bf6a041c8e8186eb157d,863820c7a51bf29679eaf74c6ea558adde67dddcd597ce570022fff608546cda,e4b39e7f5721613f10108ab1693c878e325cef1f23009c83aa4f6f278a86b9a3
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-3fd360a6acc4e7dc0e4d25aa,DS-000229,数据库元数据,BTC,f92abe1336fcf2463981b9bf09595da91c6642688d884b9321950c809461e668,sha256:1b3721e3d6a8995a1e0d893bc9b9bfc4a635926c1d47d9857382d46e2b282a73,sha256:c87b9aa34ba5f83425fde4c5168a3ae1d8bee6ff39eb301d8af1ceb93dfbf78b,无法判定,已观察,METADATA_OBSERVED_IDENTITY_UNPROVEN,固定探针:information_schema.TABLES;information_schema.COLUMNS;资产编号=DS-000229;成员编号=ZI-3fd360a6acc4e7dc0e4d25aa;元数据SHA-256=24b622d26bab9cc89755832bec438a583b04050cb6eda9d81fbd07af87363247;SchemaSHA-256=f8fa2c64c99e2945d4c502443c2a30e658ed54a3182e028a2203de8637f69e6f,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,24b622d26bab9cc89755832bec438a583b04050cb6eda9d81fbd07af87363247,f8fa2c64c99e2945d4c502443c2a30e658ed54a3182e028a2203de8637f69e6f,d729d0252dbeb6d766094cd9fd7f233a300f89a1e4a2c435317cb9e65b76f27a,f0a46caae4e700b4d7e8788896383201febdaa57f5afb83ab43f181df84e1163,72c3616f20bcbe57242c938ae452c8c7faa2b9515998bf6a041c8e8186eb157d,863820c7a51bf29679eaf74c6ea558adde67dddcd597ce570022fff608546cda,6f0f70d2ce7d15ec10b0bd5d62eaa11863a3d5148771eff9c61624f66d4cabf4
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-84932a2cb8d1dbb102b157bc,DS-000230,数据库元数据,BTC,696fc7c4311abe694bffc605e03c287a75b809028054b2796902f493ea776b60,sha256:1b3721e3d6a8995a1e0d893bc9b9bfc4a635926c1d47d9857382d46e2b282a73,sha256:9a565fd9e0d7bf49b9497dc15ec4abb69880afac8161750c19d2e05fa8aac645,无法判定,已观察,METADATA_OBSERVED_IDENTITY_UNPROVEN,固定探针:information_schema.TABLES;information_schema.COLUMNS;资产编号=DS-000230;成员编号=ZI-84932a2cb8d1dbb102b157bc;元数据SHA-256=64e0935830c05e188702ed1294bc4ee36904bfe0fadc9a8bd4cd034634a53163;SchemaSHA-256=5a237f3499968d64cda7bbac1753af896b389005f936f391c80ae9ee9722a3b4,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,64e0935830c05e188702ed1294bc4ee36904bfe0fadc9a8bd4cd034634a53163,5a237f3499968d64cda7bbac1753af896b389005f936f391c80ae9ee9722a3b4,31591780fe65a86c2ee56f425b6f5702a0439833cd4473c8435785b6bc6e8e36,f0a46caae4e700b4d7e8788896383201febdaa57f5afb83ab43f181df84e1163,72c3616f20bcbe57242c938ae452c8c7faa2b9515998bf6a041c8e8186eb157d,863820c7a51bf29679eaf74c6ea558adde67dddcd597ce570022fff608546cda,e4dbc06dcf2cff858292e27bfc29df055397d4d8b7173bc3583fe1c611c58326
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-931fd13d49e7871a65721be5,DS-000231,数据库元数据,BTC,1ddffa1f0f31556fe0d2dc68a47c93c046bfcfab4dcad6b6413e954c85a567ce,sha256:1b3721e3d6a8995a1e0d893bc9b9bfc4a635926c1d47d9857382d46e2b282a73,sha256:57fc6d40158b63dba1bbebda02db8d846f6d47a07ad1f932502b925cbd5eaab5,无法判定,已观察,METADATA_OBSERVED_IDENTITY_UNPROVEN,固定探针:information_schema.TABLES;information_schema.COLUMNS;资产编号=DS-000231;成员编号=ZI-931fd13d49e7871a65721be5;元数据SHA-256=dba7957c34d2d15351c14b745f36339e577cd21c9a1e219c1e85039aeaf8a579;SchemaSHA-256=dc647c466c412e9486bf50d4fedea2d6d80a0eb2dcce1844bd282f5c723ce068,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,dba7957c34d2d15351c14b745f36339e577cd21c9a1e219c1e85039aeaf8a579,dc647c466c412e9486bf50d4fedea2d6d80a0eb2dcce1844bd282f5c723ce068,ac67358927b5974de2f9209795af76f617de556ba74546fb3d688317545884d2,f0a46caae4e700b4d7e8788896383201febdaa57f5afb83ab43f181df84e1163,72c3616f20bcbe57242c938ae452c8c7faa2b9515998bf6a041c8e8186eb157d,863820c7a51bf29679eaf74c6ea558adde67dddcd597ce570022fff608546cda,72ffbca89c2a7838943c7c6ccb43f8f87b69f994c257d03880368388c9f6f781
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-0db81498191dada0dd3edbeb,DS-000232,数据库元数据,BTC,d5e98969dd30d95cf796e35f21a830b2e8ab6decb9c18e07dba58527efbd0f89,sha256:1b3721e3d6a8995a1e0d893bc9b9bfc4a635926c1d47d9857382d46e2b282a73,sha256:6cc6f6fb8e4581969a8fe56908411e6592e64af044bc80383313bdff877e51b6,无法判定,已观察,METADATA_OBSERVED_IDENTITY_UNPROVEN,固定探针:information_schema.TABLES;information_schema.COLUMNS;资产编号=DS-000232;成员编号=ZI-0db81498191dada0dd3edbeb;元数据SHA-256=98785e20dcfa8e43b8ab584fefd4f293ad8d4825271d60eb45f09d936977dc00;SchemaSHA-256=50e40c99d70ea31fe8cfe2567a5a22a971bcd2a5e1ec5d2128cd593fa6ffd2ee,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,98785e20dcfa8e43b8ab584fefd4f293ad8d4825271d60eb45f09d936977dc00,50e40c99d70ea31fe8cfe2567a5a22a971bcd2a5e1ec5d2128cd593fa6ffd2ee,ee64a1731ebd7a789524f449cccef2e37fd47709bf8e9d50b43ed789dc7edbab,f0a46caae4e700b4d7e8788896383201febdaa57f5afb83ab43f181df84e1163,72c3616f20bcbe57242c938ae452c8c7faa2b9515998bf6a041c8e8186eb157d,863820c7a51bf29679eaf74c6ea558adde67dddcd597ce570022fff608546cda,88c8261418df95bb6dc092c73da4d26c1d48a0c1a6e47bdbddfbc25e543c58ff
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-40e1501e3846b2cfea5a7abc,DS-000233,数据库元数据,BTC,72e7313ef8e524b350b1ace10c8d6b8626b5188e0d1dd969dfa6e1b8fcbd5739,sha256:1b3721e3d6a8995a1e0d893bc9b9bfc4a635926c1d47d9857382d46e2b282a73,sha256:8629bdc8dd178eb539414d065b16a0b592bafcedd5e311b82b47e449aa81916f,无法判定,已观察,METADATA_OBSERVED_IDENTITY_UNPROVEN,固定探针:information_schema.TABLES;information_schema.COLUMNS;资产编号=DS-000233;成员编号=ZI-40e1501e3846b2cfea5a7abc;元数据SHA-256=74f6ce3cf6fbc423986fbe3a36341182e07437ccbbd8e8b9aef003bb978d5908;SchemaSHA-256=db6b8712077ed3d074a4a081f34624e21403f37aab1bf4086dd49cd130e1ef1d,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,74f6ce3cf6fbc423986fbe3a36341182e07437ccbbd8e8b9aef003bb978d5908,db6b8712077ed3d074a4a081f34624e21403f37aab1bf4086dd49cd130e1ef1d,5187d3cc537ccb45c22df117d08d418c2cbe5b224d4c448a9b857218eb6fc3b4,f0a46caae4e700b4d7e8788896383201febdaa57f5afb83ab43f181df84e1163,72c3616f20bcbe57242c938ae452c8c7faa2b9515998bf6a041c8e8186eb157d,863820c7a51bf29679eaf74c6ea558adde67dddcd597ce570022fff608546cda,d192e0384f77b26616dc4bb8824a110b7fca58f99b9f541a2114aee2e004a676
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-180e97d2bf1963cdbc241452,DS-000234,数据库元数据,BTC,32b66f7841fcfd1a8692bb0602413683c771ac914082faa7548d5a3cd7b46044,sha256:1b3721e3d6a8995a1e0d893bc9b9bfc4a635926c1d47d9857382d46e2b282a73,sha256:5c8f1aae7e47594f1eae8ced897be958f9a328bc36eb41cf8d5a5f8656b61731,无法判定,已观察,METADATA_OBSERVED_IDENTITY_UNPROVEN,固定探针:information_schema.TABLES;information_schema.COLUMNS;资产编号=DS-000234;成员编号=ZI-180e97d2bf1963cdbc241452;元数据SHA-256=99255e122f8368e6c566c6138e5178cef37692855420908e2a289f28078bfddf;SchemaSHA-256=d5270bef94896758cb79e26a97626b94f7d6d96628cad5657c09d292c4864502,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,99255e122f8368e6c566c6138e5178cef37692855420908e2a289f28078bfddf,d5270bef94896758cb79e26a97626b94f7d6d96628cad5657c09d292c4864502,50c2754118e433da556307f60ea75b78b832102cf7f74a8f96cccc19491132c8,f0a46caae4e700b4d7e8788896383201febdaa57f5afb83ab43f181df84e1163,72c3616f20bcbe57242c938ae452c8c7faa2b9515998bf6a041c8e8186eb157d,863820c7a51bf29679eaf74c6ea558adde67dddcd597ce570022fff608546cda,cad202c0de7bde800a9319b3bc4a4ec85959a23dced628fdab2d042e904056c3
