标的,资产编号,交易场所,市场类型,精确合约,数据对象,主研究尺度,事后结果观察窗口,时间范围,最终状态,尺度证据状态,门1来源身份,门2时间与质量合同,门3质量审计,门4历史重放,门5成本与执行,门6血缘,是否合格,拒绝原因,成员指纹
BTC,DS-000001,未知,未知,未知,未知,4小时,"[""15分钟"",""1小时""]",无法判定,不可用,重放=无法判定;成本=无法判定,拒绝,拒绝,无法判定,拒绝,拒绝,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=不可用不允许；门1来源身份=拒绝；门2时间与质量合同=拒绝；门3质量审计=无法判定；门4历史重放=拒绝；门5成本与执行=拒绝,401ddd5e9de205ecb72056b0af1f483c43a03758fcf3d7732775c6b75149cec5
BTC,DS-000001,未知,未知,未知,未知,8小时,"[""15分钟"",""1小时""]",无法判定,不可用,重放=无法判定;成本=无法判定,拒绝,拒绝,无法判定,拒绝,拒绝,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=不可用不允许；门1来源身份=拒绝；门2时间与质量合同=拒绝；门3质量审计=无法判定；门4历史重放=拒绝；门5成本与执行=拒绝,39f51c46b572e8171291aa6037be17202be8dc07636934c2d47c6ec80b2df239
BTC,DS-000001,未知,未知,未知,未知,24小时,"[""15分钟"",""1小时""]",无法判定,不可用,重放=无法判定;成本=无法判定,拒绝,拒绝,无法判定,拒绝,拒绝,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=不可用不允许；门1来源身份=拒绝；门2时间与质量合同=拒绝；门3质量审计=无法判定；门4历史重放=拒绝；门5成本与执行=拒绝,f44b59bb30d0ffb4c8b02b985dfa0a43f79826ba137ee2a87d4dd64b9d2ea621
BTC,DS-000001,未知,未知,未知,未知,48小时,"[""15分钟"",""1小时""]",无法判定,不可用,重放=无法判定;成本=无法判定,拒绝,拒绝,无法判定,拒绝,拒绝,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=不可用不允许；门1来源身份=拒绝；门2时间与质量合同=拒绝；门3质量审计=无法判定；门4历史重放=拒绝；门5成本与执行=拒绝,a9ef43a4d86263d350cf7a9626c3e36919a0f659d7b6efa0e916e6627fa914cc
BTC,DS-000002,未知,未知,未知,未知,4小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,6878f39b5d82660a6b1ff5b58ca808d2f105caea8bae92e636ddba27bdb89d9e
BTC,DS-000002,未知,未知,未知,未知,8小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,8d475f3819b5dd6664704d0020828a8da81bfb3b4633f15d0bd96578399c1407
BTC,DS-000002,未知,未知,未知,未知,24小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,e9b9fb3a263b88e151b37ce9a480d4becc3eb07f358bd14b6a8b3c41214a985b
BTC,DS-000002,未知,未知,未知,未知,48小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,4895a5dfc63e8c93a49af275d28012edefff8cea09981d87476f9200e93a0cc4
BTC,DS-000003,未知,未知,未知,未知,4小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,1bac58789a6d5dd8e39075f2178622af0498ac60c18e7dedbd3279e0b5f6a2fe
BTC,DS-000003,未知,未知,未知,未知,8小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,bd85727684fc9078c0f32d2e872fc70164351d44bb9d91ec1516d89d0b57e83a
BTC,DS-000003,未知,未知,未知,未知,24小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,64991abffd3c634c73afbe76a30ecd414b037c7bd6dfb5640124d1b1a45f8aa7
