批次,标的,交易场所,市场,精确合约,方向,阶段,主研究尺度小时,结果观察窗口分钟,手续费状态,价差状态,深度状态,冲击状态,资金费率状态,行情可见性延迟状态,可成交量状态,执行延迟状态,成本与执行总门,原因代码,解除条件
stage1-cost-execution-20260812T143746Z-7c30e25b6a19,BTCUSDT,Binance,USDⓈ-M永续合约,BTCUSDT,做多,入场,4,"15,60",无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,EXECUTION_LIFECYCLE_EVIDENCE_MISSING,同一历史现场的版本化模拟委托发送、确认/成交、排队和撤单时间证据
stage1-cost-execution-20260812T143746Z-7c30e25b6a19,BTCUSDT,Binance,USDⓈ-M永续合约,BTCUSDT,做多,入场,8,"15,60",无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,EXECUTION_LIFECYCLE_EVIDENCE_MISSING,同一历史现场的版本化模拟委托发送、确认/成交、排队和撤单时间证据
stage1-cost-execution-20260812T143746Z-7c30e25b6a19,BTCUSDT,Binance,USDⓈ-M永续合约,BTCUSDT,做多,入场,24,"15,60",无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,EXECUTION_LIFECYCLE_EVIDENCE_MISSING,同一历史现场的版本化模拟委托发送、确认/成交、排队和撤单时间证据
stage1-cost-execution-20260812T143746Z-7c30e25b6a19,BTCUSDT,Binance,USDⓈ-M永续合约,BTCUSDT,做多,入场,48,"15,60",无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,EXECUTION_LIFECYCLE_EVIDENCE_MISSING,同一历史现场的版本化模拟委托发送、确认/成交、排队和撤单时间证据
stage1-cost-execution-20260812T143746Z-7c30e25b6a19,BTCUSDT,Binance,USDⓈ-M永续合约,BTCUSDT,做多,退出,4,"15,60",无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,EXECUTION_LIFECYCLE_EVIDENCE_MISSING,同一历史现场的版本化模拟委托发送、确认/成交、排队和撤单时间证据
stage1-cost-execution-20260812T143746Z-7c30e25b6a19,BTCUSDT,Binance,USDⓈ-M永续合约,BTCUSDT,做多,退出,8,"15,60",无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,EXECUTION_LIFECYCLE_EVIDENCE_MISSING,同一历史现场的版本化模拟委托发送、确认/成交、排队和撤单时间证据
stage1-cost-execution-20260812T143746Z-7c30e25b6a19,BTCUSDT,Binance,USDⓈ-M永续合约,BTCUSDT,做多,退出,24,"15,60",无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,EXECUTION_LIFECYCLE_EVIDENCE_MISSING,同一历史现场的版本化模拟委托发送、确认/成交、排队和撤单时间证据
stage1-cost-execution-20260812T143746Z-7c30e25b6a19,BTCUSDT,Binance,USDⓈ-M永续合约,BTCUSDT,做多,退出,48,"15,60",无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,EXECUTION_LIFECYCLE_EVIDENCE_MISSING,同一历史现场的版本化模拟委托发送、确认/成交、排队和撤单时间证据
stage1-cost-execution-20260812T143746Z-7c30e25b6a19,BTCUSDT,Binance,USDⓈ-M永续合约,BTCUSDT,做空,入场,4,"15,60",无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,EXECUTION_LIFECYCLE_EVIDENCE_MISSING,同一历史现场的版本化模拟委托发送、确认/成交、排队和撤单时间证据
stage1-cost-execution-20260812T143746Z-7c30e25b6a19,BTCUSDT,Binance,USDⓈ-M永续合约,BTCUSDT,做空,入场,8,"15,60",无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,EXECUTION_LIFECYCLE_EVIDENCE_MISSING,同一历史现场的版本化模拟委托发送、确认/成交、排队和撤单时间证据
stage1-cost-execution-20260812T143746Z-7c30e25b6a19,BTCUSDT,Binance,USDⓈ-M永续合约,BTCUSDT,做空,入场,24,"15,60",无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,EXECUTION_LIFECYCLE_EVIDENCE_MISSING,同一历史现场的版本化模拟委托发送、确认/成交、排队和撤单时间证据
stage1-cost-execution-20260812T143746Z-7c30e25b6a19,BTCUSDT,Binance,USDⓈ-M永续合约,BTCUSDT,做空,入场,48,"15,60",无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,EXECUTION_LIFECYCLE_EVIDENCE_MISSING,同一历史现场的版本化模拟委托发送、确认/成交、排队和撤单时间证据
stage1-cost-execution-20260812T143746Z-7c30e25b6a19,BTCUSDT,Binance,USDⓈ-M永续合约,BTCUSDT,做空,退出,4,"15,60",无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,EXECUTION_LIFECYCLE_EVIDENCE_MISSING,同一历史现场的版本化模拟委托发送、确认/成交、排队和撤单时间证据
